address,orientation,bearing,nearest_road,road_distance_m
11 REMBRANDT DRIVE,Unknown,,Harold Reid Foreshore Track,0.0
10 REMBRANDT DRIVE,Unknown,,Harold Reid Foreshore Track,0.0
9 CAMBRIDGE STREET,Unknown,,,0.01
81A REMBRANDT DRIVE,Unknown,,Harold Reid Foreshore Track,0.0
40 STRATHALLEN AVENUE,Unknown,,Morotai Crescent,0.01
42 STRATHALLEN AVENUE,Unknown,,Morotai Crescent,0.01
43 STRATHALLEN AVENUE,Unknown,,Sailors Bay Track,0.01
45 STRATHALLEN AVENUE,Unknown,,Sailors Bay Track,0.01
47 STRATHALLEN AVENUE,Unknown,,Sailors Bay Track,0.01
5 STRATHALLEN AVENUE,Unknown,,Sailors Bay Track,0.01
57 STRATHALLEN AVENUE,Unknown,,Sailors Bay Track,0.01
6 STRATHALLEN AVENUE,Unknown,,Sailors Bay Track,0.01
"UNIT 1, 60 STRATHALLEN AVENUE",Unknown,,Morotai Crescent,0.01
54-58A FRENCHS ROAD,Unknown,,Warners Avenue,0.01
71 KAMERUKA ROAD,Unknown,,,0.0
75 KAMERUKA ROAD,Unknown,,,0.0
77 KAMERUKA ROAD,Unknown,,,0.0
78 KAMERUKA ROAD,Unknown,,,0.0
79 KAMERUKA ROAD,Unknown,,,0.0
8 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
81 KAMERUKA ROAD,Unknown,,,0.0
83 KAMERUKA ROAD,Unknown,,,0.0
84 KAMERUKA ROAD,Unknown,,,0.0
89 KAMERUKA ROAD,Unknown,,,0.0
9 KAMERUKA ROAD,Unknown,,Morotai Crescent,0.0
91 KAMERUKA ROAD,Unknown,,,0.0
92 KAMERUKA ROAD,Unknown,,,0.0
95 KAMERUKA ROAD,Unknown,,,0.0
98 KAMERUKA ROAD,Unknown,,,0.0
45 BROMBOROUGH ROAD,Unknown,,,0.04
48 BROMBOROUGH ROAD,Unknown,,,0.04
49 BROMBOROUGH ROAD,Unknown,,,0.04
"UNIT 11, 180 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 12, 180 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 15, 180 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 16, 180 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 17, 180 PACIFIC HIGHWAY",Unknown,,,0.04
11 KING EDWARD STREET,Unknown,,,0.02
12 KING EDWARD STREET,Unknown,,,0.02
"UNIT 4, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 6, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 7, 174 PACIFIC HIGHWAY",Unknown,,,0.04
20 VICTORIA STREET,Unknown,,,0.03
21 VICTORIA STREET,Unknown,,,0.03
7 PARADISE AVENUE,Unknown,,,0.03
8 PARADISE AVENUE,Unknown,,,0.03
1 PARK AVENUE,Unknown,,,0.03
11 PARK AVENUE,Unknown,,,0.03
12 PARK AVENUE,Unknown,,,0.03
14 PARK AVENUE,Unknown,,,0.03
22 LUXOR PARADE,Unknown,,,0.03
28 LUXOR PARADE,Unknown,,,0.03
14 CALGA STREET,Unknown,,,0.02
17 CALGA STREET,Unknown,,,0.02
21 CALGA STREET,Unknown,,,0.02
22 GRIFFITH AVENUE,Unknown,,,0.02
27 GRIFFITH AVENUE,Unknown,,,0.02
28 GRIFFITH AVENUE,Unknown,,,0.02
3 GRIFFITH AVENUE,Unknown,,,0.02
32 GRIFFITH AVENUE,Unknown,,,0.02
34 GRIFFITH AVENUE,Unknown,,,0.02
35 GRIFFITH AVENUE,Unknown,,,0.02
37 GRIFFITH AVENUE,Unknown,,,0.02
39 GRIFFITH AVENUE,Unknown,,,0.02
48 BABBAGE ROAD,Unknown,,,0.02
49 BABBAGE ROAD,Unknown,,,0.02
5 BABBAGE ROAD,Unknown,,,0.02
56 BABBAGE ROAD,Unknown,,,0.02
"UNIT 39, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 4, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 40, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 42, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
61 DUNTROON AVENUE,Unknown,,,0.02
63 DUNTROON AVENUE,Unknown,,,0.02
"UNIT 5, 55 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 7, 55 PACIFIC HIGHWAY",Unknown,,,0.03
2 TRAFALGAR AVENUE,Unknown,,,0.04
21 TRAFALGAR AVENUE,Unknown,,,0.04
23 TRAFALGAR AVENUE,Unknown,,,0.04
68 PACIFIC HIGHWAY,Unknown,,,0.03
70 PACIFIC HIGHWAY,Unknown,,,0.03
72 PACIFIC HIGHWAY,Unknown,,,0.03
76 PACIFIC HIGHWAY,Unknown,,,0.03
79-81 PACIFIC HIGHWAY,Unknown,,,0.03
83 PACIFIC HIGHWAY,Unknown,,,0.03
84A PACIFIC HIGHWAY,Unknown,,,0.03
86 PACIFIC HIGHWAY,Unknown,,,0.03
89 PACIFIC HIGHWAY,Unknown,,,0.03
90 PACIFIC HIGHWAY,Unknown,,,0.03
101 MACQUARIE STREET,Unknown,,,0.02
109 MACQUARIE STREET,Unknown,,,0.02
111 MACQUARIE STREET,Unknown,,,0.02
74 MACQUARIE STREET,Unknown,,,0.02
960 PACIFIC HIGHWAY,Unknown,,,0.03
18 WARRANE ROAD,Unknown,,,0.02
20 WARRANE ROAD,Unknown,,,0.02
"UNIT 7, 10 VICTORIA STREET",Unknown,,,0.03
11 VICTORIA STREET,Unknown,,,0.03
12 VICTORIA STREET,Unknown,,,0.03
